title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,event_date_utc,continent,country
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,2,3,,1,671,us,0,4.121,19,mww,591,-20.3641,-178.57,2019-09-01,,Fiji
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,0,4,green,1,670,us,0,12.896,19,mww,16,-60.2152,-26.5801,2019-08-27,,United Kingdom of Great Britain and Northern Ireland (the)
"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,4,6,green,0,875,us,0,2.839,23,mww,49,-7.2822,104.791,2019-08-02,,
"M 6.8 - 96 km SW of San Antonio, Chile",6.8,6,6,green,1,947,us,0,0.817,35,mww,25,-34.2364,-72.3102,2019-08-01,,
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,0,4,green,1,670,us,0,6.024,30,mww,181,-16.1985,167.998,2019-07-31,,Vanuatu
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,7,7,green,1,809,us,0,1.504,38,mww,18.98,-0.5858,128.034,2019-07-14,,Indonesia
"M 6.6 - 200km W of Broome, Australia",6.6,5,5,green,0,791,us,0,2.978,32,mww,10,-18.2242,120.358,2019-07-14,,
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,7,5,green,0,747,us,0,1.205,21,mww,35,0.5126,126.189,2019-07-07,,Indonesia
"M 7.1 - 18km W of Searles Valley, CA",7.1,9,9,yellow,0,1646,ci,77,0.04616,43,mw,8,35.7695,-117.599,2019-07-06,North America,United States of America
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,4,6,green,1,952,us,0,2.629,16,mww,212,-6.4078,129.169,2019-06-24,,Indonesia
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,8,6,green,1,830,us,0,1.402,11,mww,46,-30.6441,-178.1,2019-06-15,,
"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,7,6,yellow,1,886,us,0,1.193,22,mww,57.92,13.1994,-89.3056,2019-05-30,,
"M 8.0 - 78 km NE of Navarro, Peru",8,9,8,orange,1,1890,us,0,3.18,17,mww,122.57,-5.8119,-75.2697,2019-05-26,South America,Peru
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,7,7,green,1,929,us,0,0.453,16,mww,10,-4.051,152.597,2019-05-14,,Papua New Guinea
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,7,6,yellow,1,826,us,0,2.514,16,mww,146,-6.9746,146.449,2019-05-06,,Papua New Guinea
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,5,6,green,1,717,us,0,0.791,28,mww,15.46,-1.8146,122.58,2019-04-12,,Indonesia
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,0,5,green,1,650,us,0,7.568,18,mww,38,-58.6262,-25.304,2019-04-09,,
"M 7.0 - 22 km NNE of Azángaro, Peru",7,7,4,green,1,869,us,0,2.501,42,mww,267,-14.7131,-70.1546,2019-03-01,South America,Peru
"M 7.5 - 111km ESE of Palora, Ecuador",7.5,7,7,yellow,1,1145,us,0,2.045,15,mww,145,-2.1862,-77.0505,2019-02-22,South America,Ecuador
"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,6,6,yellow,1,909,us,0,0.289,43,mww,66,14.6802,-92.4527,2019-02-01,,Mexico
M 6.7 - Prince Edward Islands region,6.7,0,3,green,0,691,us,0,7.527,17,mww,13,-43.1219,42.3568,2019-01-22,,
"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,8,8,orange,1,1600,us,0,0.173,22,mww,63,-30.0404,-71.3815,2019-01-20,South America,Chile
"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,5,4,green,1,671,us,0,7.818,18,mww,35,-13.336,166.875,2019-01-15,,Vanuatu
M 6.6 - Molucca Sea,6.6,2,4,green,1,672,us,0,1.596,33,mww,43.21,2.258,126.758,2019-01-06,,Indonesia
"M 6.8 - 90km W of Tarauaca, Brazil",6.8,3,3,green,0,715,us,0,1.181,16,mww,570.41,-8.144,-71.587,2019-01-05,South America,Brazil
"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7,5,5,green,1,803,us,0,1.769,21,mww,60.21,5.8983,126.921,2018-12-29,,
